state,abbr,population,age,income,poverty,crime,price_1996apr,price_1996may,price_1996jun,price_1996jul,price_1996aug,price_1996sep,price_1996oct,price_1996nov,price_1996dec,price_1997jan,price_1997feb,price_1997mar,price_1997apr,price_1997may,price_1997jun,price_1997jul,price_1997aug,price_1997sep,price_1997oct,price_1997nov,price_1997dec,price_1998jan,price_1998feb,price_1998mar,price_1998apr,price_1998may,price_1998jun,price_1998jul,price_1998aug,price_1998sep,price_1998oct,price_1998nov,price_1998dec,price_1999jan,price_1999feb,price_1999mar,price_1999apr,price_1999may,price_1999jun,price_1999jul,price_1999aug,price_1999sep,price_1999oct,price_1999nov,price_1999dec,price_2000jan,price_2000feb,price_2000mar,price_2000apr,price_2000may,price_2000jun,price_2000jul,price_2000aug,price_2000sep,price_2000oct,price_2000nov,price_2000dec,price_2001jan,price_2001feb,price_2001mar,price_2001apr,price_2001may,price_2001jun,price_2001jul,price_2001aug,price_2001sep,price_2001oct,price_2001nov,price_2001dec,price_2002jan,price_2002feb,price_2002mar,price_2002apr,price_2002may,price_2002jun,price_2002jul,price_2002aug,price_2002sep,price_2002oct,price_2002nov,price_2002dec,price_2003jan,price_2003feb,price_2003mar,price_2003apr,price_2003may,price_2003jun,price_2003jul,price_2003aug,price_2003sep,price_2003oct,price_2003nov,price_2003dec,price_2004jan,price_2004feb,price_2004mar,price_2004apr,price_2004may,price_2004jun,price_2004jul,price_2004aug,price_2004sep,price_2004oct,price_2004nov,price_2004dec,price_2005jan,price_2005feb,price_2005mar,price_2005apr,price_2005may,price_2005jun,price_2005jul,price_2005aug,price_2005sep,price_2005oct,price_2005nov,price_2005dec,price_2006jan,price_2006feb,price_2006mar,price_2006apr,price_2006may,price_2006jun,price_2006jul,price_2006aug,price_2006sep,price_2006oct,price_2006nov,price_2006dec,price_2007jan,price_2007feb,price_2007mar,price_2007apr,price_2007may,price_2007jun,price_2007jul,price_2007aug,price_2007sep,price_2007oct,price_2007nov,price_2007dec,price_2008jan,price_2008feb,price_2008mar,price_2008apr,price_2008may,price_2008jun,price_2008jul,price_2008aug,price_2008sep,price_2008oct,price_2008nov,price_2008dec,price_2009jan,price_2009feb,price_2009mar,price_2009apr,price_2009may,price_2009jun,price_2009jul,price_2009aug,price_2009sep,price_2009oct,price_2009nov,price_2009dec,price_2010jan,price_2010feb,price_2010mar,price_2010apr,price_2010may,price_2010jun,price_2010jul,price_2010aug,price_2010sep,price_2010oct,price_2010nov,price_2010dec,price_2011jan,price_2011feb,price_2011mar,price_2011apr,price_2011may,price_2011jun,price_2011jul,price_2011aug,price_2011sep,price_2011oct,price_2011nov,price_2011dec,price_2012jan,price_2012feb,price_2012mar,price_2012apr,price_2012may,price_2012jun,price_2012jul,price_2012aug,price_2012sep,price_2012oct,price_2012nov,price_2012dec,price_2013jan,price_2013feb,price_2013mar,price_2013apr,price_2013may,price_2013jun,price_2013jul,price_2013aug,price_2013sep,price_2013oct,price_2013nov,price_2013dec,price_2014jan,price_2014feb,price_2014mar,price_2014apr,price_2014may,price_2014jun,price_2014jul,price_2014aug,price_2014sep,price_2014oct,price_2014nov,price_2014dec,price_2015jan,price_2015feb,price_2015mar,price_2015apr,price_2015may,price_2015jun,price_2015jul,price_2015aug,price_2015sep,price_2015oct,price_2015nov,price_2015dec,price_2016jan,price_2016feb,price_2016mar,price_2016apr,price_2016may,price_2016jun,price_2016jul,price_2016aug,price_2016sep,price_2016oct,price_2016nov,price_2016dec,price_2017jan,price_2017feb,price_2017mar,price_2017apr,price_2017may,price_2017jun,price_2017jul,price_2017aug,price_2017sep,price_2017oct,price_2017nov,price_2017dec,price_2018jan,price_2018feb,price_2018mar,price_2018apr,price_2018may,price_2018jun,price_2018jul,price_2018aug,price_2018sep
Hawaii,HI,1428683,38.5,72133,10.8,309.1931229,215400,214600,213700,212800,212100,211400,210900,210500,210200,210000,209500,208700,207700,206800,205800,204800,203900,203200,202600,202200,201900,201700,201500,201400,201500,201900,202300,202700,202900,203100,203100,203100,203300,203500,203600,203500,203200,202900,202500,202200,201900,202000,202400,203200,204500,206100,207700,209300,210700,212200,213500,214600,215500,216100,216700,217300,217900,218600,219300,219900,220500,221200,222100,223100,224200,225500,226800,228200,229800,231600,233400,235200,237000,238900,240900,242900,245300,247800,250500,253400,256500,259800,263300,267100,270900,274800,278900,283400,288500,294100,300100,306200,312500,318800,325500,332800,340700,349300,358600,368200,377700,387000,396100,404800,413200,421300,429300,437700,446800,456200,465600,474600,482800,490100,496800,503200,509400,515300,520400,524900,528500,531400,533600,535400,536600,537100,536900,535900,534700,533600,532500,531200,529700,528000,526400,525000,523600,522300,521100,519800,518100,515700,512800,509200,505100,500300,495400,490200,485000,479900,474900,469800,464600,459500,454600,449700,444700,439400,434500,430400,427200,424900,423500,422800,422500,422400,422300,422900,423600,423600,423100,422900,422000,420800,419400,418100,416500,415100,413900,411900,410000,409300,408600,406600,404700,402900,401700,401700,401900,402200,403700,406100,408000,409800,411900,414600,417600,420400,422200,423800,426200,429000,431800,434600,438200,442100,446000,449400,452500,456100,460100,462300,464900,468300,470400,472000,474900,478100,481100,484500,487900,490900,494200,497600,500700,502400,503300,504500,505800,506100,506400,508100,511600,515200,518700,522300,525300,528700,533300,537900,541500,545000,548400,551700,554300,556600,559200,563200,567200,568900,569200,569900,571300,572800,574600,576100,577800,580200,583400,586200,589300,593800,599600,603500,606500,610000,613500,616000,617900,619000
Idaho,ID,1680026,35.7,56564,15.2,230.2838742,99900,99800,99800,99700,99600,99600,99600,99800,100200,101000,102300,104100,106200,108400,110500,112300,113900,115100,115900,116400,116700,116700,116600,116400,116200,116200,116300,116600,117100,117500,118000,118400,118800,119100,119400,119500,119400,119300,119100,119000,118900,118900,119000,119200,119500,119900,120200,120600,120900,121300,121700,122100,122600,123000,123500,124100,124700,125300,125800,126200,126300,126100,125800,125200,124600,124200,123800,123700,123700,123800,124000,124200,124500,124700,125000,125300,125600,126000,126400,126800,127200,127500,127800,128200,128600,129100,129600,130200,130800,131200,131500,131700,132000,132300,132800,133400,134200,135200,136200,137300,138200,139100,140000,141000,142100,143400,144700,146000,147300,148600,150000,151800,154100,157000,160200,163400,166400,169100,171400,173900,176700,179300,181800,184000,185800,187100,187900,188400,188900,189200,189400,189700,190200,190400,190500,190500,190600,190800,191000,191300,191600,191800,191700,191700,191400,190700,189500,188200,186600,185000,183400,181900,180500,179200,177900,176700,175700,174300,172500,170900,169400,168100,166900,165900,165300,164900,165200,164100,161500,159400,158600,157400,156200,155100,154100,152700,150900,149600,148100,146200,145000,144500,143700,143300,143100,142900,142400,142200,141900,141400,141000,141200,141600,142300,143000,143800,144500,145400,146400,147400,148400,149000,149500,150500,151800,153100,154700,156400,157900,159100,160200,161400,162800,163800,164600,165900,167300,168200,168600,168900,169100,169400,170000,170900,171900,172700,173400,174300,175500,176300,176900,177600,178400,179400,180300,181500,182700,184200,185700,187000,188200,189200,190300,191600,193000,194100,195300,196800,198200,199700,201300,203300,205200,207000,208300,209600,211600,213800,215800,217600,219200,221000,223300,225400,227600,230400,233400,236300,239100,241300
Illinois,IL,12835726,37.4,61386,14,436.3069159,115100,115700,116100,116300,116200,115900,115300,114700,114100,113500,112900,112000,111200,110500,109800,108900,108100,107400,107100,107300,108100,109400,110900,112300,113800,115200,116700,118200,119600,120800,121900,122700,123400,123900,124000,123900,123800,123800,123900,124200,124700,125200,126000,126800,127900,129100,130200,131200,132100,133000,133800,134700,135500,136300,137100,137800,138600,139400,140100,140800,141400,142100,142800,143600,144500,145400,146500,147600,148700,149700,150700,151700,152700,153600,154400,155200,155900,156700,157300,157900,158400,158900,159400,160000,160600,161400,162200,163100,164000,165000,165900,166800,167700,168800,169800,170900,172100,173300,174400,175500,176500,177500,178600,179600,180600,181500,182300,183100,184100,185200,186300,187600,189100,190600,192000,193300,194600,195700,196600,197700,198700,199500,200200,200900,201400,202000,202400,202800,203200,203600,203700,203900,203900,203600,203100,202700,202200,201700,201100,200300,199300,198200,196900,195600,194400,193000,191500,189900,188000,186200,184500,182800,181200,179600,177900,176200,174400,172200,170000,168000,166300,164800,163800,163000,162600,162500,162800,161900,160000,158900,158400,157500,156200,154800,153400,151900,150200,148800,147700,146800,145800,144500,142800,141500,140700,140000,138900,137700,136800,135800,134500,133700,133700,134000,134400,134400,134200,134100,134200,134600,135100,135300,135600,136100,136400,136900,137600,138700,139700,140500,141200,141600,141800,142100,142500,143100,143800,144700,145800,146800,147500,148100,148500,148800,149100,149400,149700,150400,151400,152000,152600,153100,153700,154000,154700,155300,155800,156000,156400,156900,157800,158600,159000,159400,160200,160900,161600,162200,163000,163600,164100,164800,165500,166100,166600,167300,167800,168500,169400,170300,171200,172400,173600,174100,174400,175000,175400,175700,176100,176800
Indiana,IN,6634007,37.4,56094,15,404.7155963,93600,92200,90800,89500,88500,87800,87500,87500,87700,88000,88300,88500,88600,88600,88600,88600,88400,88200,87900,87600,87000,86400,86100,86100,86500,87100,87600,88000,88300,88600,88700,88700,88400,87900,87300,86900,86700,86900,87400,88300,89400,90500,91400,92100,92500,92900,93000,93100,93100,93100,93200,93400,93700,94100,94700,95500,96400,97400,98300,99200,99900,100600,101200,101800,102300,102800,103100,103300,103500,103500,103600,103500,103400,103300,103200,103100,103100,103100,103300,103400,103600,103900,104200,104600,105000,105300,105300,105200,104900,104500,104200,104000,103800,103900,104000,104300,104600,105000,105400,105700,105900,106200,106400,106800,107500,108300,109100,109900,110700,111500,112200,112800,113400,113900,114300,114600,114800,114900,114900,114900,115000,115200,115400,115900,116400,116800,117200,117400,117600,117700,117800,117900,117900,117900,117800,117700,117500,117500,117600,117700,117900,118000,117900,117900,117800,117600,117200,116700,116200,115500,114900,114300,113800,113300,112800,112300,111800,111200,110500,109900,109400,109000,108500,108200,108000,107900,107900,107700,107400,107600,107900,108000,108000,108200,108300,108200,108000,107800,107500,107100,106700,106100,105600,105300,105000,104800,104700,104700,104300,104000,104000,104200,104200,104300,104500,104800,105000,105100,105200,105200,105400,105400,105100,104800,104700,104700,104500,104400,104300,104200,104100,104200,104400,104500,104600,104900,105100,105400,105900,106200,106300,106600,107100,107600,108100,108500,108700,108900,109300,109700,110000,110300,110700,111100,111500,111700,112000,112600,113200,113800,114400,115200,116000,116700,117300,118100,118800,119400,119900,120600,121200,122000,122900,123600,124000,124400,125000,125500,126100,127100,128000,128700,129800,130900,131900,132800,133800,135000,136400,137300
Iowa,IA,3130869,38,59094,12.3,290.6185709,62000,62000,62100,62300,62600,63100,63600,64100,64500,64800,65000,65200,65500,65800,66100,66500,66800,67300,67800,68300,68800,69200,69500,69700,69900,70300,70800,71600,72500,73300,74000,74700,75300,75800,76200,76400,76400,76200,75900,75600,75300,75100,75100,75200,75500,75900,76500,77300,78100,78800,79500,80100,80700,81100,81500,81800,82000,82300,82600,82900,83200,83500,83700,83900,84100,84500,84800,85100,85500,85900,86300,86900,87500,88000,88500,88900,89200,89300,89500,89700,89800,89900,90000,90200,90600,91000,91500,92000,92300,92700,93000,93200,93400,93700,94000,94300,94700,95000,95400,95800,96300,96800,97400,98300,99300,100200,100900,101300,101500,101700,102000,102500,102900,103400,103800,104100,104300,104400,104500,104600,104800,105100,105600,106100,106700,107200,107600,108000,108300,108500,108800,109200,109400,109600,109700,109800,109900,110100,110300,110600,110900,111100,111300,111600,111800,111900,111700,111400,111200,110900,110700,110600,110600,110600,110700,110900,111100,111100,111000,111000,111000,111100,111100,111100,111100,111100,111200,111300,111400,111700,112300,112700,112500,112200,112000,111600,111200,110800,110300,109900,109800,109800,109700,109700,109900,110000,109900,110100,110300,110500,110700,110800,110800,110900,111100,111200,111400,111700,112100,112400,112700,113100,113400,113900,114200,114200,114100,114400,114700,114900,115100,115500,115800,116000,116300,116700,117000,117300,117700,118000,118300,118800,119200,119400,119900,120400,120900,121300,122000,122700,123200,123500,123700,123900,124300,124700,124900,125000,125600,126000,126400,126900,127500,128000,128400,128700,129100,129600,130000,130600,131200,131900,132700,133200,133400,133700,134000,134400,135000,136000,136900,137400,137600,137800,138100,138300,138600,139200,139900,140500
Kansas,KS,2907731,36.2,56810,13.3,380.4231365,64200,64400,64600,64800,65000,65300,65500,65900,66300,67000,68000,69300,70800,72400,73800,75100,76100,76900,77600,78300,79000,79800,80600,81300,82000,82700,83300,83900,84400,84800,85200,85700,86100,86600,87000,87400,87700,88000,88300,88500,88700,88900,89200,89500,89900,90200,90400,90700,90900,91000,91300,91500,91700,91800,91900,92000,92100,92300,92600,93000,93500,94100,94600,95200,95800,96300,96800,97200,97600,98000,98300,98600,98700,98800,98700,98600,98500,98400,98500,98900,99200,99500,99700,99800,99800,99900,100300,100800,101300,101800,102100,102300,102500,102700,103000,103400,103900,104500,105200,106000,106900,107900,109100,110300,111400,112300,113000,113500,113900,113800,113500,113100,112600,112300,112100,112000,111900,112000,112200,112300,112500,112700,113000,113400,113800,114200,114600,114900,115100,115400,115700,116100,116600,117300,117900,118500,119000,119400,119500,119400,119100,118900,118700,118500,118300,118000,117700,117500,117200,117000,116800,116600,116500,116500,116400,116400,116400,116300,116100,115800,115500,115300,115100,115000,114900,114900,115000,115000,114800,114700,114800,114800,114500,114100,113900,113600,113300,112900,112400,111600,110900,110500,110100,109500,109300,109300,109100,108900,108700,108500,108500,108600,108700,108600,108700,108800,108900,108800,108700,108800,108900,109000,109000,108800,108800,109000,109100,109400,109600,109800,110000,110400,110800,111000,111300,111600,111900,112000,112100,112400,112600,112800,113000,113400,113800,114100,114300,114800,115200,115300,115500,115700,115800,116100,116500,116700,117000,117500,118200,118800,119400,120000,120600,121300,122200,123000,123600,124200,124700,125300,126100,127000,127900,128600,129000,129300,129600,130000,130600,131100,131400,131600,131800,131900,132500,133600,134500,135300,136200,136800
Kentucky,KY,4436113,38.6,45369,18.8,232.3204959,70200,70400,70600,70800,71000,71300,71600,72000,72300,72700,73000,73300,73600,73900,74200,74500,74800,75200,75600,76000,76500,77000,77500,78000,78500,78900,79300,79700,80100,80500,80800,81100,81300,81600,81800,82000,82300,82600,83000,83300,83700,84000,84300,84700,85000,85300,85600,85900,86300,86600,87000,87300,87700,88000,88400,88800,89300,89900,90400,90900,91400,91900,92400,92800,93100,93300,93600,93900,94300,94800,95400,95900,96500,96900,97200,97500,97800,98100,98400,98900,99500,100000,100600,101200,101600,102000,102400,102700,103000,103300,103600,103900,104300,104600,105000,105400,105700,106100,106600,107000,107500,107900,108400,108900,109300,109500,109600,109300,109100,109100,109200,109400,109700,110000,110300,110700,111100,111500,112000,112400,112800,113400,114100,114900,115900,116700,117100,117100,116700,116400,116200,116000,115900,115900,115900,115900,115700,115600,115600,115600,115600,115600,115700,115700,115700,115500,115300,114900,114600,114300,114100,114000,114000,114000,114100,114100,114000,113900,113800,113500,113200,113000,112900,112900,112900,113000,113000,113600,114600,115000,115000,115200,115200,115100,114900,114700,114600,114500,114300,113700,112900,112300,111900,111600,111400,111300,111200,111000,110700,110600,110500,110300,110100,110100,110300,110200,110300,110300,110400,110800,111100,111100,111200,111300,111300,111400,111700,112000,112100,112200,112300,112400,112500,112600,112900,113100,113300,113500,113600,113800,114100,114400,114500,114600,114800,115100,115400,115800,116300,116700,117100,117400,117600,118100,118700,119400,119900,120300,120800,121400,121900,122300,122900,123400,124000,124700,125400,126100,126700,127500,128400,129100,129600,130500,131400,132200,132800,133300,133800,134400,135000,135800,136300,136900,137800,138600,139100,139800,140800,141600
Louisiana,LA,4686157,36.2,42196,19.7,566.0805363,67100,67300,67400,67700,68000,68200,68500,68700,69100,69400,69700,69900,70200,70500,70700,71000,71400,71800,72200,72700,73400,74100,75100,76000,77000,78000,79000,79900,80700,81500,82300,82900,83600,84200,84800,85300,85900,86400,87000,87800,88500,89200,89800,90400,90900,91300,91700,91900,92200,92300,92400,92600,92700,92900,93200,93500,93900,94300,94700,95000,95100,94800,94200,93200,92000,90900,90000,89400,89100,89100,89300,89600,89900,90200,90400,90700,91000,91200,91400,91600,91800,92100,92200,92500,92800,93200,93900,94700,95600,96400,97300,98100,98800,99300,99800,100300,100700,101200,101800,102400,103100,103600,104100,104300,104200,103800,103500,103400,103700,104100,104800,105700,106800,108000,109100,110300,111600,112800,113900,114800,115600,116200,116600,116900,117100,117500,117900,118400,118900,119500,120100,120700,121300,121900,122400,122800,123100,123300,123500,123600,123800,124000,124200,124300,124400,124300,124200,124100,124200,124300,124400,124600,124700,125000,125200,125500,125700,125900,125900,126000,126000,125800,125600,125500,125400,125400,125400,125400,125200,125000,125100,125200,125000,124800,124700,124400,123900,123500,123100,122500,121700,121200,120800,120400,120000,119700,119300,119000,118800,118500,118200,118100,118100,118200,118300,118300,118500,118700,118800,118800,119000,119400,119800,120000,120300,120600,120800,120800,120900,121100,121400,121700,122000,122100,122200,122300,122600,123100,123200,123600,124000,124400,124600,125000,125300,125700,126100,126200,126200,126500,126900,127200,127400,127700,128200,128900,129300,129700,130300,131300,132100,132600,133300,134200,134900,135600,136200,136800,137500,138000,138500,139100,139700,140000,140200,140400,140700,141200,141600,142000,142300,142600,142900,143300,144200,144900,145400,145600,145900,146100
Maine,ME,1330232,44,50856,13.5,123.7721361,86200,85700,85100,84500,83900,83400,82900,82500,82300,82100,82000,82000,82000,82100,82400,82700,83100,83600,84200,84700,85300,85800,86200,86600,86900,87200,87500,87800,88100,88500,89000,89500,90000,90600,91200,91800,92500,93300,94200,95200,96200,97200,98300,99400,100600,101800,102900,104000,105100,106200,107400,108600,110000,111400,112900,114500,116100,117700,119200,120800,122200,123600,124900,126100,127200,128200,129100,130000,130900,131900,133000,134200,135400,136600,137900,139100,140300,141500,142800,144000,145200,146300,147600,149000,150400,152000,153600,155400,157400,159300,161200,162900,164500,166100,167800,169700,171800,174000,176200,178100,179600,180900,182300,184100,186600,189400,192100,194300,196200,197800,199100,200000,200600,201200,201700,201900,201800,201700,201600,201600,201700,201700,201700,201600,201400,201200,200900,200600,200100,199700,199500,199200,198700,198300,198000,198000,198000,198200,198300,198200,197800,196800,195200,193100,190700,188200,186000,184100,182600,181300,179900,178600,177500,176600,175800,175000,174000,172700,171600,170900,170600,170700,170900,171300,171800,172300,172600,173500,175300,177000,177900,178300,178300,177700,177000,175900,174700,173400,172000,170400,169200,168400,168200,168200,168000,168100,168300,168400,168300,168400,168600,168700,168900,169400,169900,170200,170500,171100,171700,172400,173100,173800,174700,175500,175900,176000,175700,175600,175900,176300,176400,176600,176800,177200,177900,178800,179800,180900,182200,182900,182600,182000,181900,182200,182600,183200,183900,184700,185000,185000,185100,185300,185500,185700,186200,186800,187400,187900,188800,189800,190600,191700,193300,194900,196300,197600,198900,200100,201700,203100,203800,204700,206000,207000,208000,208800,209500,210400,212100,214600,216600,218000,219400,220500,221200,221700,221900,223200,225900,228400
Maryland,MD,6024752,38.3,73760,9.9,472.0393947,129200,129200,129100,129000,128900,128900,128900,128900,129000,129200,129400,129400,129400,129300,129300,129200,129200,129300,129400,129500,129800,130200,130700,131000,131200,131300,131400,131400,131500,131600,131700,132000,132500,133000,133600,134100,134500,134900,135300,135600,136000,136400,136800,137400,138100,138900,139600,140200,140800,141300,141800,142400,143000,143600,144400,145200,146100,147100,148100,149000,150000,150900,151900,152900,154000,155100,156400,157700,159100,160600,162100,163700,165300,167100,168900,170700,172600,174600,176700,178900,181200,183500,185700,187900,190200,192600,195000,197600,200300,203000,205800,208800,211800,214900,218000,221300,225000,229000,233500,238300,243300,248500,253800,258900,263900,268700,273300,278000,283000,288100,293300,298300,302900,307000,310700,314000,317000,319700,322200,324700,327300,329400,331200,332700,333700,334400,334800,334800,334800,334700,334500,334300,334100,333300,332000,330300,328300,325900,323100,320100,317100,314000,311000,308500,306000,303000,299200,295300,291400,287900,284700,281700,278800,275900,272900,270100,267100,263600,259900,257000,255000,253600,252600,251900,251600,251500,251900,250300,247100,245100,244900,243900,242700,241500,240300,239100,237600,236200,234700,233400,232200,230900,229700,228600,227300,225800,224400,223200,222200,221900,221800,221900,222600,223600,224300,225200,226300,227300,227900,228500,229000,229500,229600,230400,231900,233500,234800,236100,237500,238700,239800,240800,241700,241900,242200,242900,243500,243800,244300,245000,245500,246200,246900,247300,247700,248100,248600,249000,249500,250000,250600,251200,251600,251700,251900,252500,252900,253100,253200,253900,255200,256700,258200,259500,260200,260900,262000,263600,265000,266000,266900,268000,269100,269900,270200,270400,271100,272500,273600,274600,275800,277600,279500,281100,282300,283100,283400,283800,284600,285400
Massachusetts,MA,6823721,39.4,72266,11.4,376.9499862,137100,137400,137800,138100,138400,138800,139100,139500,140000,140700,141200,141700,142300,142900,143600,144300,145100,145900,146800,147800,149100,150600,152000,153200,154400,155600,156700,157800,158800,159800,160800,161900,163200,164800,166400,167900,169600,171400,173300,175300,177300,179200,181200,183300,185700,188200,190700,193000,195400,197800,200300,203000,205800,208700,211700,214600,217600,220500,223300,226100,228900,231900,234900,238100,241300,244300,247300,250100,252800,255400,257900,260400,263000,265700,268500,271400,274400,277500,280800,284100,287300,290300,293100,295900,298600,301100,303500,305600,307700,309700,311800,314000,316300,318600,321000,323500,325900,328500,331200,334100,336900,339700,342500,345000,347600,350100,352600,355000,357200,358800,359900,360600,360900,361000,360800,360400,359600,358700,357700,356600,355400,354000,352300,350300,348100,345900,343900,342000,340400,339200,338400,337600,336800,335800,334600,333200,331700,330000,328200,326100,323900,321600,319200,316700,314100,311700,309500,307400,305500,304100,302800,301700,300700,299900,299100,297800,296000,294000,292000,290800,290600,290900,291400,291900,292500,293300,294100,294000,293500,293300,293400,293100,292400,291600,290400,289300,288200,286400,284200,283200,283000,282300,281500,281100,280400,279300,278300,277300,276600,276000,275700,276000,276800,277800,278900,279900,280400,280900,281900,283200,284300,285000,286100,287800,290000,292300,294800,297100,299100,300900,303000,304500,305300,306500,308100,309200,310200,311600,313000,314200,315400,316300,316800,318000,319700,321200,322200,322900,323400,324200,325200,326400,327900,329500,330900,332300,333700,335200,336600,338100,339800,341600,343400,345400,347800,350300,352800,355300,358100,361500,364900,367900,370300,372300,373500,374300,375700,378100,380400,382400,384000,386400,389600,391600,392900,394800,396900,398500,400100,401500
Michigan,MI,9933445,39.5,57091,16.3,459.0111097,76600,77100,77600,78200,78700,79200,79600,80000,80500,81100,81700,82200,82700,83300,83900,84500,85100,85800,86400,87100,88000,89000,90000,90800,91500,92200,92800,93300,93700,94100,94500,94900,95400,96000,96600,97200,97800,98500,99200,99900,100700,101500,102300,103100,104000,104800,105500,106200,106900,107700,108400,109100,109700,110400,111100,111700,112300,112700,113100,113500,114000,114400,114800,115200,115600,115900,116300,116700,117100,117700,118300,119000,119600,120100,120600,121000,121400,121800,122200,122700,123100,123600,123900,124000,124100,124300,124600,125000,125500,126000,126500,126900,127300,127700,128100,128500,129000,129600,130200,130800,131300,131800,132300,132800,133400,133900,134300,134800,135300,135700,136100,136400,136700,137000,137200,137300,137300,137200,137000,136900,136900,136700,136400,136100,135900,135600,135300,134900,134400,133900,133200,132700,132200,131400,130500,129600,128600,127500,126500,125400,124200,123000,121700,120500,119300,117900,116300,114800,113200,111600,110100,108600,107000,105500,104000,102600,101300,99800,98100,96600,95400,94200,93200,92500,92000,91800,91900,91300,90200,89500,89500,89300,88900,88400,87900,87300,86600,85900,85300,84700,84300,83700,83300,82800,82500,82300,82200,82000,81800,81800,81800,82000,82300,83000,83700,84100,84500,85100,85600,86300,87000,87700,88300,89000,90100,91000,91600,92600,93600,94600,95500,96600,97500,98200,99000,99900,100800,101700,102500,103200,104000,104900,105800,106600,107400,108300,109100,109800,110500,111100,111900,112800,113500,114000,114900,115800,116600,117200,117800,118500,119600,120400,121100,122200,123400,124300,125100,126100,127000,127800,128700,129900,130900,131800,132600,133300,133900,134700,135600,136500,137500,138500,139500,140300,141100,142200,143300,144500,145800,146600
Minnesota,MN,5525050,37.8,70218,10.8,242.6470375,87100,87400,87900,88400,88900,89300,89700,90000,90200,90500,90700,90800,90800,91000,91200,91500,91900,92400,93000,93500,94100,94800,95400,95900,96400,97000,97700,98600,99600,100800,102000,103300,104600,105800,107000,108200,109500,110800,112200,113700,115100,116500,117800,119200,120600,122100,123400,124600,125800,127100,128300,129700,131200,132700,134200,135700,137100,138400,139600,140900,142300,143900,145600,147500,149300,150900,152500,154000,155400,156800,158300,159800,161200,162500,163800,164800,165800,166800,167900,169100,170400,171800,173100,174500,175800,177000,178100,179200,180200,181100,182100,183200,184300,185400,186700,188200,189700,191100,192400,193600,194600,195600,196500,197400,198300,199200,200200,201200,202300,203400,204300,205200,206000,206700,207600,208400,209200,209900,210300,210400,210100,209600,209000,208400,207800,207300,206900,206600,206400,206400,206200,206200,206100,205500,204600,203600,202700,201700,200600,199300,197600,195900,194000,192400,191100,189500,187700,185800,183800,182100,180600,179100,177800,176600,175400,174400,173300,171700,169900,168600,167900,167400,167100,166800,166700,166900,167400,166400,164400,163700,164500,164600,163900,162400,160800,159200,157600,155900,154200,152700,151800,150900,149600,148900,148500,148100,147700,147500,147300,147000,146800,147100,147500,148300,149400,150300,151000,152100,153200,154200,155300,156400,157300,158200,159300,160300,161200,162400,163900,165300,166600,167800,169000,169600,170200,171300,172600,173600,174300,174600,174900,175400,176000,176300,176600,177200,178000,179200,180700,182000,183000,183700,184400,185100,185800,186700,187600,188600,189900,191300,192600,193600,194600,195900,197100,198100,199300,200800,202400,204000,205600,207500,209100,210500,211900,213100,214000,215300,216800,217800,218700,220300,222100,223400,224600,225500,226100,226800,228200,229200
Mississippi,MS,2985415,36.7,41099,22.3,280.487405,70900,71000,71100,71300,71500,71700,71800,71800,71700,71600,71600,71500,71400,71500,71700,71800,72000,72300,72400,72600,72800,73000,73100,73100,73000,72800,72500,72200,71900,71500,71100,70600,70200,69900,69800,69800,70100,70500,71000,71500,72000,72300,72500,72700,72800,73000,73200,73300,73300,73100,72600,71800,70800,69700,68700,67900,67500,67300,67200,67200,67300,67400,67600,67900,68100,68300,68400,68400,68500,68700,68800,68800,68900,69000,69200,69400,69500,69600,69600,69600,69700,69700,69800,70000,70100,70200,70200,70100,70000,69900,69800,69800,69800,69900,70100,70200,70300,70400,70600,71200,72200,74200,76800,79700,82500,84900,86900,88500,90100,91900,93800,95700,97300,98500,99300,100000,100500,101200,102100,103400,104900,106400,107900,109500,111000,112200,113100,113700,114300,114800,115300,115400,115400,115300,115200,115400,115700,116100,116300,116000,115600,115000,114500,113900,113200,112600,112200,112000,111900,111800,111700,111400,111100,111000,110900,110800,110500,110200,109800,109100,108500,108300,108600,109400,110500,111600,112100,113500,115700,116900,117200,117200,116400,116100,116200,115800,114700,113700,112900,112200,111400,110800,110500,110600,110500,109200,107100,105700,105200,105000,105000,104600,104200,104300,104300,103800,103400,103000,102900,103000,102900,102400,102200,102200,102000,101500,101000,100700,100400,100000,99500,99300,99100,99200,98900,97900,96800,96300,96200,96500,97000,98000,98800,99200,99700,100500,101200,101800,102200,102400,102700,103500,104500,105200,105600,106100,106600,107100,107500,108000,108700,109300,109800,110300,111100,112100,113100,114000,114700,114900,114900,114800,114900,114800,114700,114900,115400,115700,116200,116900,117000,116800,117100,117900,119200,121100,122700,123200,123100,123200
